City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Mataura,8,NZ,1552407005,93,-46.19,168.86,12.22,0.89
Tabuk,56,PH,1552407469,92,17.41,121.44,18.91,0.81
Komsomolskiy,48,RU,1552407469,82,67.55,63.78,-8.39,5.11
Vallenar,0,CL,1552407470,62,-28.58,-70.76,20.31,1.21
Charters Towers,32,AU,1552407470,79,-20.07,146.27,23.29,2.11
Alofi,68,NU,1552402800,94,-19.06,-169.92,24.0,1.0
Cairns,76,AU,1552407200,83,-16.92,145.77,26.0,5.1
Ushuaia,75,AR,1552406400,71,-54.81,-68.31,8.0,7.2
Svetlaya,80,RU,1552407471,100,46.54,138.33,-1.84,3.76
Bluff,68,AU,1552407471,84,-23.58,149.07,21.56,2.61
Savinka,68,RU,1552407471,87,50.08,47.1,0.44,3.31
Puerto Ayora,20,EC,1552407331,74,-0.74,-90.35,28.0,4.1
Georgetown,75,GY,1552406400,74,6.8,-58.16,28.0,7.2
Busselton,0,AU,1552407386,55,-33.64,115.35,16.11,8.16
Malpe,8,IN,1552406400,74,13.35,74.72,27.0,2.1
Kenai,1,US,1552407424,63,60.55,-151.26,-1.0,5.1
Havre-Saint-Pierre,1,CA,1552402800,63,50.23,-63.6,-1.0,4.6
Chapais,40,CA,1552405680,66,49.78,-74.86,-12.0,4.1
Cabedelo,75,BR,1552402800,83,-6.97,-34.84,28.0,4.6
Nalut,0,LY,1552407474,59,31.86,10.98,14.04,6.66
Brus Laguna,88,HN,1552407474,72,15.75,-84.48,26.86,1.76
Albany,90,US,1552407468,59,42.65,-73.75,2.78,7.7
Nola,12,CF,1552407474,68,3.52,16.05,30.76,1.16
Hilo,90,US,1552407269,93,19.71,-155.08,18.33,2.1
Cherskiy,64,RU,1552407475,57,68.75,161.3,-24.34,0.86
Yellowknife,40,CA,1552407299,92,62.45,-114.38,-8.33,4.6
Tocopilla,0,CL,1552407475,90,-22.09,-70.2,21.16,2.16
Arraial do Cabo,75,BR,1552402800,74,-22.97,-42.02,30.0,5.1
Rikitea,56,PF,1552407476,100,-23.12,-134.97,25.51,9.26
Cobija,75,BR,1552406400,78,-11.02,-68.77,28.0,3.1
Qaanaaq,48,GL,1552407476,100,77.48,-69.36,-19.34,2.91
Atuona,76,PF,1552407476,100,-9.8,-139.03,27.76,6.36
Takapau,76,NZ,1552404857,93,-40.02,176.35,16.11,1.16
Vila Velha,20,BR,1552406898,66,-3.71,-38.6,30.0,7.2
Ghanzi,64,BW,1552407477,28,-21.7,21.65,33.31,3.21
Hithadhoo,0,MV,1552407411,100,-0.6,73.08,28.96,5.56
Mount Isa,0,AU,1552406400,83,-20.73,139.49,27.0,2.26
Hobart,20,AU,1552407375,70,-42.88,147.33,8.33,4.1
Victoria,75,BN,1552406400,83,5.28,115.24,26.67,0.5
Punta Arenas,40,CL,1552407200,57,-53.16,-70.91,9.0,4.1
Meulaboh,56,ID,1552407273,100,4.14,96.13,27.36,0.81
Luderitz,0,NA,1552407479,74,-26.65,15.16,18.96,7.96
Barrow,56,AR,1552407480,72,-38.31,-60.23,23.46,2.16
Marsh Harbour,0,BS,1552407480,98,26.54,-77.06,24.79,2.71
Hermanus,24,ZA,1552407398,91,-34.42,19.24,18.89,0.45
Cape Town,40,ZA,1552407363,72,-33.93,18.42,21.67,4.6
Lebu,40,ET,1552402800,31,8.96,38.73,24.0,4.1
Souillac,90,FR,1552407355,71,45.6,-0.6,14.0,9.3
Sur,0,OM,1552407530,90,22.57,59.53,22.29,5.81
Chokurdakh,0,RU,1552407530,33,70.62,147.9,-30.22,1.56
Angoche,92,MZ,1552407530,100,-16.23,39.91,27.41,9.56
New Norfolk,20,AU,1552407375,70,-42.78,147.06,8.33,4.1
Thompson,75,CA,1552402800,78,55.74,-97.86,-8.0,1.76
Surt,88,LY,1552407531,83,31.21,16.59,15.81,11.86
Bethel,90,US,1552406160,79,60.79,-161.76,-3.0,3.6
Nicolas Bravo,40,MX,1552407015,32,24.39,-104.74,20.56,3.6
Saint-Philippe,40,CA,1552407483,58,45.36,-73.48,-2.78,1.5
Brigham City,1,US,1552407504,80,41.51,-112.02,5.0,1.91
Dukat,92,RS,1552407432,68,42.44,22.31,2.78,3.13
Antsohihy,88,MG,1552407533,82,-14.88,47.99,26.76,2.46
Port Hardy,75,CA,1552402800,100,50.7,-127.42,1.0,3.6
Bredasdorp,92,ZA,1552407398,72,-34.53,20.04,20.0,7.7
Cassilandia,8,BR,1552407307,84,-19.11,-51.73,29.71,1.66
Caravelas,68,BR,1552407501,100,-17.73,-39.27,28.54,2.96
Pochutla,5,MX,1552407314,79,15.74,-96.47,32.22,1.31
Kruisfontein,48,ZA,1552407534,90,-34.0,24.73,19.91,0.76
Nanortalik,92,GL,1552407272,100,60.14,-45.24,-2.32,10.61
Castro,90,CL,1552406400,100,-42.48,-73.76,11.0,1.0
